IncidentID,Team,Opposition,Date,Round,IncidentType,Decision,TimeInMatch,RefereeName,Description,League_x,Rank,League_y,Wins,Losses,Goals_For,Goals_Against,Fouls_Per_Game,Cards_Per_Game
VAR_001,Aston Villa,Fulham,2023-09-21,2,Red Card,Upheld,56',Referee_17,Red card decision reviewed for violent conduct in midfield challenge,Premier League,10,Premier League,17,9,45,37,13.396921323890798,2.9668779141596207
VAR_022,Aston Villa,Arsenal,2023-12-07,34,Penalty,Upheld,1',Referee_16,"Ball struck arm of defender, VAR assessed for deliberate contact",Premier League,10,Premier League,17,9,45,37,13.396921323890798,2.9668779141596207
VAR_031,Aston Villa,Leicester City,2024-03-14,35,Goal Review,Upheld,82',Referee_17,Handball in buildup to goal reviewed by VAR officials,Premier League,10,Premier League,17,9,45,37,13.396921323890798,2.9668779141596207
VAR_059,Aston Villa,Chelsea,2023-09-15,14,Offside,Upheld,45',Referee_9,"Offside call questioned, VAR checked player position at time of pass",Premier League,10,Premier League,17,9,45,37,13.396921323890798,2.9668779141596207
VAR_086,Aston Villa,West Ham,2024-02-18,35,Goal Review,Upheld,25',Referee_11,"Goal disallowed for offside, VAR confirmed correct decision",Premier League,10,Premier League,17,9,45,37,13.396921323890798,2.9668779141596207
VAR_106,Aston Villa,West Ham,2023-10-12,17,Penalty,Upheld,89',Referee_11,"Offside call questioned, VAR checked player position at time of pass",Premier League,10,Premier League,17,9,45,37,13.396921323890798,2.9668779141596207
VAR_111,Aston Villa,Southampton,2024-03-02,31,Goal Review,Overturned,39',Referee_3,"Goal disallowed for offside, VAR confirmed correct decision",Premier League,10,Premier League,17,9,45,37,13.396921323890798,2.9668779141596207
VAR_167,Aston Villa,Newcastle,2023-12-07,25,Handball,Upheld,15',Referee_1,VAR reviewed goal for potential offside in attacking sequence,Premier League,10,Premier League,17,9,45,37,13.396921323890798,2.9668779141596207
VAR_191,Aston Villa,West Ham,2024-04-05,1,Red Card,Overturned,67',Referee_4,"Goal disallowed for offside, VAR confirmed correct decision",Premier League,10,Premier League,17,9,45,37,13.396921323890798,2.9668779141596207
VAR_194,Aston Villa,Chelsea,2024-01-10,27,Offside,Upheld,35',Referee_18,VAR reviewed goal for potential offside in attacking sequence,Premier League,10,Premier League,17,9,45,37,13.396921323890798,2.9668779141596207
VAR_002,Chelsea,Tottenham,2023-09-23,32,Penalty,Upheld,1',Referee_19,"Offside call questioned, VAR checked player position at time of pass",Championship,2,Championship,13,12,53,22,8.205844942958024,3.9247746304049858
VAR_004,Chelsea,Leeds United,2024-03-27,33,Penalty,Upheld,59',Referee_6,"Ball struck arm of defender, VAR assessed for deliberate contact",Championship,2,Championship,13,12,53,22,8.205844942958024,3.9247746304049858
VAR_019,Chelsea,Leicester City,2023-09-20,6,Red Card,Upheld,60',Referee_5,VAR intervention for missed penalty after goalkeeper contact,Championship,2,Championship,13,12,53,22,8.205844942958024,3.9247746304049858
VAR_026,Chelsea,Bournemouth,2024-04-06,32,Penalty,Upheld,69',Referee_13,Disputed goal reviewed for ball crossing goal line,Championship,2,Championship,13,12,53,22,8.205844942958024,3.9247746304049858
VAR_030,Chelsea,Southampton,2024-02-12,11,Handball,Upheld,36',Referee_4,"Offside call questioned, VAR checked player position at time of pass",Championship,2,Championship,13,12,53,22,8.205844942958024,3.9247746304049858
VAR_051,Chelsea,Brighton,2023-10-11,26,Offside,Upheld,34',Referee_3,Serious foul play checked by VAR for card upgrade,Championship,2,Championship,13,12,53,22,8.205844942958024,3.9247746304049858
VAR_054,Chelsea,Arsenal,2024-01-13,24,Goal Review,Upheld,30',Referee_10,Red card decision reviewed for violent conduct in midfield challenge,Championship,2,Championship,13,12,53,22,8.205844942958024,3.9247746304049858
VAR_056,Chelsea,Wolves,2024-03-22,11,Red Card,Upheld,23',Referee_16,Serious foul play checked by VAR for card upgrade,Championship,2,Championship,13,12,53,22,8.205844942958024,3.9247746304049858
VAR_065,Chelsea,Bournemouth,2024-03-23,37,Goal Review,Upheld,26',Referee_2,Direct red card reviewed for endangering opponent safety,Championship,2,Championship,13,12,53,22,8.205844942958024,3.9247746304049858
VAR_097,Chelsea,Fulham,2023-11-27,20,Handball,Upheld,37',Referee_6,"Defender made contact with striker in box, penalty decision reviewed",Championship,2,Championship,13,12,53,22,8.205844942958024,3.9247746304049858
VAR_102,Chelsea,Leicester City,2024-01-20,26,Handball,Upheld,62',Referee_14,VAR overturned offside call after detailed review,Championship,2,Championship,13,12,53,22,8.205844942958024,3.9247746304049858
VAR_114,Chelsea,Liverpool,2024-01-17,30,Red Card,Overturned,13',Referee_13,VAR overturned offside call after detailed review,Championship,2,Championship,13,12,53,22,8.205844942958024,3.9247746304049858
VAR_155,Chelsea,Arsenal,2024-04-17,12,Goal Review,No Clear Error,45',Referee_15,Serious foul play checked by VAR for card upgrade,Championship,2,Championship,13,12,53,22,8.205844942958024,3.9247746304049858
